event,date,page_url,pdf_url
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr_amended.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19461,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/2026_bspa_fiscal_sponsorhip_projects.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15961,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._09.22.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15961,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_10.14.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15961,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.14.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15966,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15966,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15966,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15966,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/15966,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20076,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.08.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20076,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._11.24.25.pdf
